[2024-02-23 21:21:22] Recieved info from Drone!  7
[2024-02-23 21:21:22] Wrote data to window! 3


[2024-02-23 21:21:22] Recieved info from Drone!  7
[2024-02-23 21:21:22] Wrote data to window! 3


[2024-02-23 21:21:22] Recieved info from Drone!  7
[2024-02-23 21:21:22] Wrote data to window! 3


[2024-02-23 21:21:22] Recieved info from Drone!  7
[2024-02-23 21:21:22] Wrote data to window! 3


[2024-02-23 21:21:22] Recieved info from Drone!  7
[2024-02-23 21:21:22] Wrote data to window! 3



[2024-02-23 21:21:22] Recieved info from Drone!  7
[2024-02-23 21:21:22] Wrote data to window! 3


[2024-02-23 21:21:23] Recieved info from Drone!  7
[2024-02-23 21:21:23] Wrote data to window! 3

[2024-02-23 21:21:23] Recieved info from Drone!  7
[2024-02-23 21:21:23] Wrote data to window! 3

[2024-02-23 21:21:23] Recieved info from Drone!  7
[2024-02-23 21:21:23] Wrote data to window! 3

[2024-02-23 21:21:23] Recieved info from Drone!  7
[2024-02-23 21:21:23] Wrote data to window! 3


[2024-02-23 21:21:23] Recieved info from Drone!  7
[2024-02-23 21:21:23] Wrote data to window! 3









[2024-02-23 21:21:23] Recieved info from Drone!  7
[2024-02-23 21:21:23] Wrote data to window! 3


[2024-02-23 21:21:23] Recieved info from Drone!  7
[2024-02-23 21:21:23] Wrote data to window! 3


[2024-02-23 21:21:23] Recieved info from Drone!  7
